Code,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% Votes,Round,Last Updated Time,Last Updated Date
S111,MANJESHWAR - 1,A K M ASHRAF,Indian Union Muslim League,96470,478,96948,51.62,17/17,11:09 PM,04/05/2026
S111,MANJESHWAR - 1,K R JAYANANDA,Communist Party of India (Marxist),21022,190,21212,11.29,17/17,11:09 PM,04/05/2026
S111,MANJESHWAR - 1,SANJEEVA,Bahujan Samaj Party,212,0,212,0.11,17/17,11:09 PM,04/05/2026
S111,MANJESHWAR - 1,K SURENDRAN,Bharatiya Janata Party,67065,631,67696,36.05,17/17,11:09 PM,04/05/2026
S111,MANJESHWAR - 1,KANNUR ABDULLA MASTER,Independent,282,3,285,0.15,17/17,11:09 PM,04/05/2026
S111,MANJESHWAR - 1,ABDUL LATHEEF I,Independent,77,2,79,0.04,17/17,11:09 PM,04/05/2026
S111,MANJESHWAR - 1,GEAN LAVINA MONTEIRO,Independent,518,5,523,0.28,17/17,11:09 PM,04/05/2026
S111,MANJESHWAR - 1,JOHN D' SOUZA I,Independent,46,0,46,0.02,17/17,11:09 PM,04/05/2026
S111,MANJESHWAR - 1,"MOHAMMAD ASHRAF, PAPPIYAR HOUSE",Independent,77,1,78,0.04,17/17,11:09 PM,04/05/2026
S111,MANJESHWAR - 1,"MOHAMMED ASHRAF K A, C. M. HOUSE",Independent,59,5,64,0.03,17/17,11:09 PM,04/05/2026
S111,MANJESHWAR - 1,D SURENDRAN NAIR,Independent,201,2,203,0.11,17/17,11:09 PM,04/05/2026
S111,MANJESHWAR - 1,NOTA,None of the Above,449,6,455,0.24,17/17,11:09 PM,04/05/2026
S112,KASARAGOD - 2,ASHWINI M L,Bharatiya Janata Party,53136,562,53698,31.74,16/16,11:12 PM,04/05/2026
S112,KASARAGOD - 2,KALLATRA MAHIN,Indian Union Muslim League,75980,416,76396,45.15,16/16,11:12 PM,04/05/2026
S112,KASARAGOD - 2,MOHAMMED ALI FATHAH B M,Independent,805,19,824,0.49,16/16,11:12 PM,04/05/2026
